"","child","parent","mod","name"
"1","wth","ini",1,"weather"
"2","endpoint","ini",1,"endpointIn"
"4","txt","ini",1,"co2"
"5","txt","ini",2,"nitrogen"
"6","soi","ini",1,"soil"
"7","epc","ini",1,"startEpc"
"8","mgm","ini",1,"management"
"9","plt","mgm",1,"planting"
"10","thn","mgm",1,"thining"
"11","mow","mgm",1,"mowing"
"12","grz","mgm",1,"grazing"
"13","hrv","mgm",1,"harvest"
"14","cul","mgm",1,"cultivation"
"15","frz","mgm",1,"fertilization"
"16","irr","mgm",1,"irrigation"
"17","epc","plt",0,"plantEpc"
